identity_client,weight,age,profile_gender,profile_GOR,voted_ge_2024,pastvote_ge_2024,pastvote_EURef,profile_education_level,profile_education_level_recode,profile_work_stat,political_attention,split,xconsent,randMOSTLEAST,mostlikely,leastlikely,MLthermo,MLthermo_KB,MLthermo_KS,MLthermo_NF,MLthermo_ED,MLthermo_CD,MLthermo_AR,LLthermo,LLthermo_KB,LLthermo_KS,LLthermo_NF,LLthermo_ED,LLthermo_CD,LLthermo_AR,agreedisagree,xtrust,child
11,0.64,70,Male,West Midlands,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Retired,6,2,I consent to taking part in this study,2,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,70,Not Asked,Not Asked,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
12,1.17,71,Female,Yorkshire and the Humber,"Yes, voted",Conservative,I voted to Leave,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Medium,Retired,7,4,I consent to taking part in this study,1,Liberal Democrats,Labour Party,1,Not Asked,Not Asked,Not Asked,74,Not Asked,Not Asked,1,Not Asked,6,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
13,2.53,65,Male,West Midlands,"No, did not vote",,I did not vote,CSE grades 2-5,Low,Other,2,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
14,0.67,78,Female,West Midlands,"Yes, voted",Labour,I voted to Remain,No formal qualifications,Low,Retired,4,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
15,1.14,79,Female,London,"Yes, voted",Don't know,I voted to Leave,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),3,2,I consent to taking part in this study,2,Reform UK,Labour Party,1,Not Asked,Not Asked,91,Not Asked,Not Asked,Not Asked,1,Not Asked,17,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Neither happy nor upset
16,0.85,66,Female,East of England,"Yes, voted",Labour,I voted to Remain,ONC,Medium,Retired,6,1,I consent to taking part in this study,3,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
17,1.05,54,Male,East Midlands,"Yes, voted",Conservative,I voted to Leave,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),6,1,I consent to taking part in this study,6,Conservative Party,Labour Party,1,75,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,About half of the time,Neither happy nor upset
18,0.55,43,Female,Wales,"Yes, voted",Green,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working part time (8-29 hours a week),6,4,I consent to taking part in this study,4,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,70,1,Not Asked,Not Asked,2,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Somewhat upset
19,0.76,53,Male,South West,"Yes, voted",Conservative,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),3,4,I consent to taking part in this study,6,None of these,Liberal Democrats,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,997,Not Asked,Not Asked,Neither agree nor disagree,Don't know,Neither happy nor upset
20,0.49,63,Female,East of England,"Yes, voted",Labour,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Not working,5,1,I consent to taking part in this study,1,Green Party,Conservative Party,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
21,0.53,75,Male,East of England,"Yes, voted",Reform UK,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,10,1,I consent to taking part in this study,3,Reform UK,Green Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Almost never,Neither happy nor upset
22,0.48,76,Male,Yorkshire and the Humber,"Yes, voted",Liberal Democrat,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,10,3,I consent to taking part in this study,3,Reform UK,Green Party,1,Not Asked,Not Asked,80,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,13,5,Strongly disagree,Almost never,Extremely upset
23,0.75,55,Male,Yorkshire and the Humber,"No, did not vote",,I voted to Leave,Clerical and commercial,Low,Unemployed,6,4,I consent to taking part in this study,6,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
24,0.79,56,Female,Yorkshire and the Humber,"Yes, voted",Green,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working part time (8-29 hours a week),8,3,I consent to taking part in this study,3,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,80,997,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
25,0.64,42,Female,North West,"Yes, voted",Green,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),7,2,I consent to taking part in this study,4,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,65,57,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
26,0.66,70,Female,East Midlands,"Yes, voted",Reform UK,I voted to Leave,"Other technical, professional or higher qualification",Medium,Retired,6,2,I consent to taking part in this study,1,Green Party,Conservative Party,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,19,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
27,0.51,62,Male,West Midlands,"Yes, voted",Liberal Democrat,I voted to Remain,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),8,3,I consent to taking part in this study,1,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,91,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Somewhat upset
28,0.68,46,Female,South East,"Yes, voted",Liberal Democrat,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),7,3,I consent to taking part in this study,1,Labour Party,Reform UK,1,Not Asked,66,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
29,0.89,80,Female,East of England,"Yes, voted",Reform UK,I voted to Leave,Scottish Higher Certificate,Medium,Retired,5,3,I consent to taking part in this study,3,Reform UK,Labour Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
30,0.83,78,Male,North West,"No, did not vote",,I voted to Leave,City & Guilds certificate,Low,Retired,5,1,I consent to taking part in this study,4,Reform UK,Liberal Democrats,1,Not Asked,Not Asked,38,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,9,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
31,0.77,52,Male,East Midlands,"No, did not vote",,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,7,2,I consent to taking part in this study,5,Reform UK,Green Party,1,Not Asked,Not Asked,68,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Tend to disagree,Once in a while,Extremely upset
32,4.59,49,Male,South East,"Yes, voted",Conservative,I voted to Remain,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),1,3,I consent to taking part in this study,1,Conservative Party,Labour Party,1,36,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
33,1.2,81,Male,London,"Yes, voted",Reform UK,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,7,4,I consent to taking part in this study,1,Reform UK,Labour Party,1,Not Asked,Not Asked,80,Not Asked,Not Asked,Not Asked,1,Not Asked,29,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
34,0.66,79,Female,East Midlands,"Yes, voted",Reform UK,I voted to Leave,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Medium,Retired,4,4,I consent to taking part in this study,1,Reform UK,Conservative Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,0,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
35,0.89,72,Female,South East,"Yes, voted",Reform UK,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,5,1,I consent to taking part in this study,3,Reform UK,Labour Party,1,Not Asked,Not Asked,84,Not Asked,Not Asked,Not Asked,1,Not Asked,4,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
36,0.72,49,Female,South East,"No, did not vote",,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Not working,6,1,I consent to taking part in this study,6,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,12,Not Asked,Not Asked,Not Asked,Don't know,Don't know,Don't know
37,0.67,75,Male,Scotland,"Yes, voted",Scottish National Party (SNP),I voted to Remain,No formal qualifications,Low,Retired,6,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
38,0.61,36,Female,Wales,"No, did not vote",,I did not vote,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Not working,7,4,I consent to taking part in this study,6,None of these,None of these,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
39,0.56,69,Female,East of England,"Yes, voted",Labour,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,9,3,I consent to taking part in this study,6,None of these,Reform UK,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
40,0.61,68,Female,East Midlands,"Yes, voted",Labour,I voted to Leave,City & Guilds certificate,Low,Working part time (Less than 8 hours a week),10,1,I consent to taking part in this study,4,None of these,Reform UK,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,21,Not Asked,Not Asked,Not Asked,Tend to disagree,Don't know,Don't know
41,0.66,61,Male,South East,"Yes, voted",Labour,I voted to Leave,CSE grades 2-5,Low,Working full time (30 or more hours per week),7,1,I consent to taking part in this study,4,Conservative Party,Green Party,1,67,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Once in a while,Neither happy nor upset
42,0.46,69,Male,East of England,"Yes, voted",Green,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,9,3,I consent to taking part in this study,4,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,98,88,1,Not Asked,Not Asked,3,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Somewhat upset
43,0.65,74,Female,North West,"Yes, voted",Reform UK,I voted to Leave,CSE grades 2-5,Low,Retired,6,4,I consent to taking part in this study,3,Reform UK,Labour Party,1,Not Asked,Not Asked,96,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Neither happy nor upset
44,0.91,67,Male,North East,"Yes, voted",Reform UK,I voted to Leave,City & Guilds certificate - advanced,Medium,Retired,7,3,I consent to taking part in this study,5,Reform UK,Labour Party,1,Not Asked,Not Asked,95,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Neither happy nor upset
45,0.91,45,Male,South East,"Yes, voted",Liberal Democrat,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),6,4,I consent to taking part in this study,6,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,99,Not Asked,Not Asked,1,Not Asked,Not Asked,4,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
46,0.59,43,Female,South East,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),6,4,I consent to taking part in this study,5,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,50,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
47,0.61,73,Male,East of England,"Yes, voted",Labour,I voted to Remain,University diploma,Medium,Retired,7,2,I consent to taking part in this study,1,Labour Party,Reform UK,1,Not Asked,75,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
48,0.96,54,Male,Wales,"Yes, voted",Reform UK,I voted to Leave,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),7,3,I consent to taking part in this study,5,Reform UK,Labour Party,1,Not Asked,Not Asked,96,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
49,0.78,61,Female,Wales,"Yes, voted",Reform UK,I voted to Leave,"Other technical, professional or higher qualification",Medium,Other,7,1,I consent to taking part in this study,6,Reform UK,Conservative Party,1,Not Asked,Not Asked,63,Not Asked,Not Asked,Not Asked,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
50,2.41,56,Male,Yorkshire and the Humber,"Yes, voted",Reform UK,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Other,2,3,I consent to taking part in this study,5,None of these,Labour Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Don't know,Don't know
51,0.65,65,Female,London,"Yes, voted",Labour,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,8,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
52,0.66,41,Female,North West,"No, did not vote",,I did not vote,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),8,3,I consent to taking part in this study,6,Labour Party,None of these,1,Not Asked,100,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
53,0.68,75,Female,Yorkshire and the Humber,"Yes, voted",Labour,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,6,4,I consent to taking part in this study,1,Labour Party,Green Party,1,Not Asked,70,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,30,997,Tend to disagree,Once in a while,Neither happy nor upset
54,1.2,78,Male,Scotland,"Yes, voted",Conservative,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,6,3,I consent to taking part in this study,1,Conservative Party,Labour Party,1,88,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
55,0.65,51,Male,West Midlands,"Yes, voted",Labour,I voted to Remain,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),7,1,I consent to taking part in this study,3,Labour Party,Reform UK,1,Not Asked,79,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,997,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
56,0.65,48,Female,East Midlands,"Yes, voted",Green,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,1,I consent to taking part in this study,5,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,75,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
57,0.81,43,Male,North West,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),3,4,I consent to taking part in this study,1,Labour Party,Reform UK,1,Not Asked,74,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
58,0.83,43,Male,South East,"No, did not vote",,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),5,4,I consent to taking part in this study,2,Conservative Party,Green Party,1,63,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Neither agree nor disagree,Once in a while,Neither happy nor upset
59,0.54,48,Female,Yorkshire and the Humber,"Yes, voted",Green,I voted to Leave,University diploma,Medium,Full time student,5,4,I consent to taking part in this study,6,Green Party,Conservative Party,1,Not Asked,Not Asked,Not Asked,Not Asked,90,997,1,19,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Neither happy nor upset
60,0.98,85,Female,Yorkshire and the Humber,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,8,4,I consent to taking part in this study,5,Conservative Party,Labour Party,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,39,Not Asked,Not Asked,Not Asked,Not Asked,Tend to agree,About half of the time,Neither happy nor upset
61,1.14,71,Female,Scotland,"Yes, voted",Conservative,I voted to Leave,No formal qualifications,Low,Not working,5,2,I consent to taking part in this study,1,Reform UK,Conservative Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,80,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
62,0.67,64,Male,West Midlands,"Yes, voted",Labour,I voted to Remain,No formal qualifications,Low,Not working,3,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
63,1.54,57,Male,London,"Yes, voted",Reform UK,I voted to Leave,Recognised trade apprenticeship completed,Medium,Working full time (30 or more hours per week),6,1,I consent to taking part in this study,2,Reform UK,Labour Party,1,Not Asked,Not Asked,74,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
64,0.75,83,Female,London,"Yes, voted",Labour,I voted to Remain,"Other technical, professional or higher qualification",Medium,Retired,6,2,I consent to taking part in this study,3,Labour Party,Conservative Party,1,Not Asked,68,Not Asked,Not Asked,Not Asked,Not Asked,1,0,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
65,0.8,85,Male,South West,"Yes, voted",Liberal Democrat,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,7,4,I consent to taking part in this study,5,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,70,Not Asked,Not Asked,1,Not Asked,Not Asked,7,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Don't know
66,0.77,59,Male,Yorkshire and the Humber,"Yes, voted",Labour,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),9,3,I consent to taking part in this study,2,Labour Party,Reform UK,1,Not Asked,80,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,5,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
67,0.73,74,Male,South East,"Yes, voted",Conservative,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,7,3,I consent to taking part in this study,6,Conservative Party,Labour Party,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Don't know
68,0.87,54,Male,Yorkshire and the Humber,"Yes, voted",Conservative,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),10,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
69,0.83,72,Male,Yorkshire and the Humber,"Yes, voted",Don't know,I voted to Leave,University diploma,Medium,Retired,7,4,I consent to taking part in this study,4,Conservative Party,Labour Party,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,7,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,About half of the time,Neither happy nor upset
70,0.7,75,Male,South West,"Yes, voted",Reform UK,I voted to Leave,No formal qualifications,Low,Working full time (30 or more hours per week),5,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
71,0.7,78,Female,South East,"Yes, voted",Liberal Democrat,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,7,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
